,Month,Week,Hour,Weekday_bike_out,Weekend_bike_out
1,Jul,1,0,0.084,0.24
2,Jul,1,1,0.058,0.14
3,Jul,1,2,0.038,0.0875
4,Jul,1,3,0.01,0.03
5,Jul,1,4,0.008,0.0075
6,Jul,1,5,0.037,0.0275
7,Jul,1,6,0.08,0.0775
8,Jul,1,7,0.343,0.2775
9,Jul,1,8,0.412,0.3925
10,Jul,1,9,0.331,0.5575
11,Jul,1,10,0.371,0.905
12,Jul,1,11,0.503,1.09
13,Jul,1,12,0.685,1.1825
14,Jul,1,13,0.634,1.175
15,Jul,1,14,0.581,1.14
16,Jul,1,15,0.564,1.13
17,Jul,1,16,0.778,0.94
18,Jul,1,17,0.992,0.8375
19,Jul,1,18,0.771,0.6875
20,Jul,1,19,0.711,0.71
21,Jul,1,20,0.595,0.5225
22,Jul,1,21,0.362,0.3675
23,Jul,1,22,0.219,0.355
24,Jul,1,23,0.153,0.1875
25,Jul,2,0,0.084,0.24
26,Jul,2,1,0.058,0.14
27,Jul,2,2,0.038,0.0875
28,Jul,2,3,0.01,0.03
29,Jul,2,4,0.008,0.0075
30,Jul,2,5,0.037,0.0275
31,Jul,2,6,0.08,0.0775
32,Jul,2,7,0.343,0.2775
33,Jul,2,8,0.412,0.3925
34,Jul,2,9,0.331,0.5575
35,Jul,2,10,0.371,0.905
36,Jul,2,11,0.503,1.09
37,Jul,2,12,0.685,1.1825
38,Jul,2,13,0.634,1.175
39,Jul,2,14,0.581,1.14
40,Jul,2,15,0.564,1.13
41,Jul,2,16,0.778,0.94
42,Jul,2,17,0.992,0.8375
43,Jul,2,18,0.771,0.6875
44,Jul,2,19,0.711,0.71
45,Jul,2,20,0.595,0.5225
46,Jul,2,21,0.362,0.3675
47,Jul,2,22,0.219,0.355
48,Jul,2,23,0.153,0.1875
49,Jul,3,0,0.084,0.24
50,Jul,3,1,0.058,0.14
51,Jul,3,2,0.038,0.0875
52,Jul,3,3,0.01,0.03
53,Jul,3,4,0.008,0.0075
54,Jul,3,5,0.037,0.0275
55,Jul,3,6,0.08,0.0775
56,Jul,3,7,0.343,0.2775
57,Jul,3,8,0.412,0.3925
58,Jul,3,9,0.331,0.5575
59,Jul,3,10,0.371,0.905
60,Jul,3,11,0.503,1.09
61,Jul,3,12,0.685,1.1825
62,Jul,3,13,0.634,1.175
63,Jul,3,14,0.581,1.14
64,Jul,3,15,0.564,1.13
65,Jul,3,16,0.778,0.94
66,Jul,3,17,0.992,0.8375
67,Jul,3,18,0.771,0.6875
68,Jul,3,19,0.711,0.71
69,Jul,3,20,0.595,0.5225
70,Jul,3,21,0.362,0.3675
71,Jul,3,22,0.219,0.355
72,Jul,3,23,0.153,0.1875
73,Jul,4,0,0.084,0.24
74,Jul,4,1,0.058,0.14
75,Jul,4,2,0.038,0.0875
76,Jul,4,3,0.01,0.03
77,Jul,4,4,0.008,0.0075
78,Jul,4,5,0.037,0.0275
79,Jul,4,6,0.08,0.0775
80,Jul,4,7,0.343,0.2775
81,Jul,4,8,0.412,0.3925
82,Jul,4,9,0.331,0.5575
83,Jul,4,10,0.371,0.905
84,Jul,4,11,0.503,1.09
85,Jul,4,12,0.685,1.1825
86,Jul,4,13,0.634,1.175
87,Jul,4,14,0.581,1.14
88,Jul,4,15,0.564,1.13
89,Jul,4,16,0.778,0.94
90,Jul,4,17,0.992,0.8375
91,Jul,4,18,0.771,0.6875
92,Jul,4,19,0.711,0.71
93,Jul,4,20,0.595,0.5225
94,Jul,4,21,0.362,0.3675
95,Jul,4,22,0.219,0.355
96,Jul,4,23,0.153,0.1875
97,Jul,5,0,0.084,0.24
98,Jul,5,1,0.058,0.14
99,Jul,5,2,0.038,0.0875
100,Jul,5,3,0.01,0.03
101,Jul,5,4,0.008,0.0075
102,Jul,5,5,0.037,0.0275
103,Jul,5,6,0.08,0.0775
104,Jul,5,7,0.343,0.2775
105,Jul,5,8,0.412,0.3925
106,Jul,5,9,0.331,0.5575
107,Jul,5,10,0.371,0.905
108,Jul,5,11,0.503,1.09
109,Jul,5,12,0.685,1.1825
110,Jul,5,13,0.634,1.175
111,Jul,5,14,0.581,1.14
112,Jul,5,15,0.564,1.13
113,Jul,5,16,0.778,0.94
114,Jul,5,17,0.992,0.8375
115,Jul,5,18,0.771,0.6875
116,Jul,5,19,0.711,0.71
117,Jul,5,20,0.595,0.5225
118,Jul,5,21,0.362,0.3675
119,Jul,5,22,0.219,0.355
120,Jul,5,23,0.153,0.1875
121,Aug,6,0,0.094,0.175
122,Aug,6,1,0.052,0.1575
123,Aug,6,2,0.03,0.08
124,Aug,6,3,0.012,0.0325
125,Aug,6,4,0.008,0.01
126,Aug,6,5,0.067,0.0225
127,Aug,6,6,0.069,0.0475
128,Aug,6,7,0.301,0.135
129,Aug,6,8,0.469,0.2125
130,Aug,6,9,0.341,0.595
131,Aug,6,10,0.313,0.97
132,Aug,6,11,0.444,1.205
133,Aug,6,12,0.583,1.3525
134,Aug,6,13,0.476,1.38
135,Aug,6,14,0.438,1.4925
136,Aug,6,15,0.508,1.205
137,Aug,6,16,0.589,1.2425
138,Aug,6,17,0.974,0.9275
139,Aug,6,18,0.846,0.9425
140,Aug,6,19,0.688,0.8225
141,Aug,6,20,0.449,0.5675
142,Aug,6,21,0.306,0.3025
143,Aug,6,22,0.23,0.27
144,Aug,6,23,0.12,0.19
145,Aug,7,0,0.094,0.175
146,Aug,7,1,0.052,0.1575
147,Aug,7,2,0.03,0.08
148,Aug,7,3,0.012,0.0325
149,Aug,7,4,0.008,0.01
150,Aug,7,5,0.067,0.0225
151,Aug,7,6,0.069,0.0475
152,Aug,7,7,0.301,0.135
153,Aug,7,8,0.469,0.2125
154,Aug,7,9,0.341,0.595
155,Aug,7,10,0.313,0.97
156,Aug,7,11,0.444,1.205
157,Aug,7,12,0.583,1.3525
158,Aug,7,13,0.476,1.38
159,Aug,7,14,0.438,1.4925
160,Aug,7,15,0.508,1.205
161,Aug,7,16,0.589,1.2425
162,Aug,7,17,0.974,0.9275
163,Aug,7,18,0.846,0.9425
164,Aug,7,19,0.688,0.8225
165,Aug,7,20,0.449,0.5675
166,Aug,7,21,0.306,0.3025
167,Aug,7,22,0.23,0.27
168,Aug,7,23,0.12,0.19
169,Aug,8,0,0.094,0.175
170,Aug,8,1,0.052,0.1575
171,Aug,8,2,0.03,0.08
172,Aug,8,3,0.012,0.0325
173,Aug,8,4,0.008,0.01
174,Aug,8,5,0.067,0.0225
175,Aug,8,6,0.069,0.0475
176,Aug,8,7,0.301,0.135
177,Aug,8,8,0.469,0.2125
178,Aug,8,9,0.341,0.595
179,Aug,8,10,0.313,0.97
180,Aug,8,11,0.444,1.205
181,Aug,8,12,0.583,1.3525
182,Aug,8,13,0.476,1.38
183,Aug,8,14,0.438,1.4925
184,Aug,8,15,0.508,1.205
185,Aug,8,16,0.589,1.2425
186,Aug,8,17,0.974,0.9275
187,Aug,8,18,0.846,0.9425
188,Aug,8,19,0.688,0.8225
189,Aug,8,20,0.449,0.5675
190,Aug,8,21,0.306,0.3025
191,Aug,8,22,0.23,0.27
192,Aug,8,23,0.12,0.19
193,Aug,9,0,0.094,0.175
194,Aug,9,1,0.052,0.1575
195,Aug,9,2,0.03,0.08
196,Aug,9,3,0.012,0.0325
197,Aug,9,4,0.008,0.01
198,Aug,9,5,0.067,0.0225
199,Aug,9,6,0.069,0.0475
200,Aug,9,7,0.301,0.135
201,Aug,9,8,0.469,0.2125
202,Aug,9,9,0.341,0.595
203,Aug,9,10,0.313,0.97
204,Aug,9,11,0.444,1.205
205,Aug,9,12,0.583,1.3525
206,Aug,9,13,0.476,1.38
207,Aug,9,14,0.438,1.4925
208,Aug,9,15,0.508,1.205
209,Aug,9,16,0.589,1.2425
210,Aug,9,17,0.974,0.9275
211,Aug,9,18,0.846,0.9425
212,Aug,9,19,0.688,0.8225
213,Aug,9,20,0.449,0.5675
214,Aug,9,21,0.306,0.3025
215,Aug,9,22,0.23,0.27
216,Aug,9,23,0.12,0.19
217,Sep,10,0,0.071,0.165
218,Sep,10,1,0.029,0.105
219,Sep,10,2,0.015,0.0525
220,Sep,10,3,0.005,0.045
